PATHWAY_SORTORDER	BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	CHEMICAL_ID	RI	MASS	CAS	PUBCHEM	CHEMSPIDER	KEGG	                               Group   HMDB_ID	Dd2_B	Dd2_C	Dd2_D	Dd2_F	Dd2_G	C12_A_1R	C12_B	C12_C	C12_D	C12_E	C710_A1	C710_B	C710_C	C710_E	C710_H	BAT_A_minus	BAT_B_minus	BAT_C_minus	BAT_D_minus	BAT_E_minus	BAT_A_plus	BAT_B_plus	BAT_C_plus	BAT_D_plus	BAT_E_plus	PUR_A_minus	PUR_B_minus	PUR_C_minus	PUR_D_minus	PUR_E_minus	PUR_A_plus	PUR_B_plus	PUR_C_plus	PUR_D_plus	PUR_E_plus
1705	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	Lipid	Plasmalogen	52677	LC/MS Pos Late	100009069	2351	700.52757			24769229			745402	1055025	1100782	1688108	1045275	186639	1419994	740454	1312180	901227	889609	950869	728000	467755	856501	1936292	3421889	3398224	1799036	3192782	2724474	2435197	3343043	2235541	2372466	2191789	2015969	3029649	2483317	2822287	2161153	1656025	2684368	2053907	3186786
1710	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Lipid	Plasmalogen	52478	LC/MS Pos Late	100009007	2443	744.59017						3219403	11202992	4556738	11927835	15893861	1138407	12738324	3559603	9586317	7699329	7155135	8782669	3926540	3290544	8683499	1919343	3052839	3341542	1617648	4480476	4734853	2147869	3118451	1773931	3685461	2709367	2604171	4039767	3527107	3951681	3500427	1567475	3594506	2988507	4446404
1704	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Lipid	Plasmalogen	52477	LC/MS Pos Late	100009005	2600	702.54322			24769228			4505225	8388619	6262028	8279627	10267833	1228160	8997854	4619952	8800273	4892923	6824523	6472871	4804273	2506737	7144280	8753730	10750304	12519603	6505695	13407192	13464949	8312082	11845756	7932960	10074735	8579061	8698232	12788929	10522914	11972383	8951426	7086905	11778375	9242080	12852312
1706	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	Lipid	Plasmalogen	52716	LC/MS Pos Late	100009162	2454	718.57452		11146967	9322076			422327	1296031	626433	1141499	1515422		1506237	469072		505506	530295	910214		299198		855678	1146395	1087288	530846	1067581	1657779	766555	996837	518928	892597	736585	996737	1530713		1058822	814045	799157	1497309	749690	1002077
1723	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	52474	LC/MS Pos Late	100002875	1547	480.34485		10917802	9093054			186033	350114	237838	271616	324117		454978	151317	372153	77335	159643	298438	191733	86673	169868		93427	89687	47464	93243	120010	68855	98063	70228	78813			112784	84570				98296	64923	113381
1724	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	39270	LC/MS Pos Late	100003000	1558	438.2979			10471193			67179	227346	122980	210175	181590		242451	80117	212100	82532	110909	136018	85973		116044		79107	83602		98444	147454	58383	77409		58376	73449		95473	57789				84779	51411	97765
1718	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Plasmalogen	52475	LC/MS Pos Late	100008999	2511	752.55887		9547058	7826008		HMDB05779	11092276	18840244	15210384	20695116	20672894	5880816	21019792	13302189	20748324	14554499	12760906	15548010	10298228	8642291	14390851	31309390	36196248	41827992	25366208	44751060	44306624	30945538	40197868	28048140	36516688	33079236	29883836	41534416	34295300	44263436	31074208	24416132	40435352	33795676	42679132
1713	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Lipid	Plasmalogen	52748	LC/MS Pos Late	100009225	2633	728.55887			24769261			768101	954414	1040592	1605742	1338815	269540	1327143	640497	1151091	669180	932285	984484	725919	464984	1122741	1424937	2515669	3284004	1520427	4173366	1526039	1753539	3607117	2130681	2312425	1760685	1149519	1531028	3392986	2337291	1430793	1173117	1896824	2237890	3780746
1712	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Lipid	Plasmalogen	52614	LC/MS Pos Late	100008919	2950	730.57452	144371-68-6		24769260			3607393	7512956	5156859	7597049	9916295	910959	8017851	3756410	8227733	4205587	6129791	5774933	3918872	2102732	6938632	8170947	12179168	12993146	6594355	12704400	13329112	8969273	12058180	8043989	9746209	7997813	8536265	11846760	10085979	11333696	8412083	6636368	10532840	8780230	12372470
1728	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	39271	LC/MS Neg	100003001	6500	464.31464						400498	1389180	620105	3965397	1098971		1125451	301658	3982900	145936	413282	1048552	396307	44530	187241	133326	708658	190367		53254	185425	145422	174458		124785	101142	77307		141863	164569	54499	103694	236755	125127	136874
1684	1-arachidonoyl-GPA (20:4)	Lipid	Lysolipid	46325	LC/MS Neg	100004442	5499	457.23606	799268-65-8					123025	113018	125422	385700	146011	117062	101824	197755	175533	129739	249052	125919	271153	83447	123244	140252	214243	186706	79288	186427	204150	133350	108569	73550	170449	211120	254318	175912	244753	165284	180017	93232	263962	183373	190612
1652	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysolipid	35186	LC/MS Neg	100001571	5874	500.27826		42607465	21403171		HMDB11517	2493974	3184618	1640442	5157771	2018589	1106668	2462631	1617787	6085052	1573537	1609856	2921046	2102451	517750	820446	2387166	5223109	2707972	718051	1859259	2590564	2319973	1739166	907298	2639572	2350706	2002504	1062853	2265649	2460858	1644946	1830231	2860461	2070850	2475747
1673	1-arachidonoyl-GPI (20:4)*	Lipid	Lysolipid	34214	LC/MS Neg	100001654	5482	619.28888					HMDB61690	9291683	12847632	10140424	28831118	16692727	3241679	15823712	6965174	32642924	4660318	17276240	13830636	7173050	4244022	10327945	216485	1514011	369448	268334	856751	220232	202528	240960	241210	306024	103632	370747	150429	691116	365874		218881		170299	128583
1750	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	34397	LC/MS Neg	100001433	6450	303.23293	35474-99-8	5282281	4445452	C13857	HMDB11572	578671	277024	455002	2809076	686118		422696		3523808	457011	333452	535406	2158592		276391			662998										220124							
1551	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phospholipid Metabolism	52710	LC/MS Pos Late	100009131	1969	806.56944			24766809			5555280	11565987	7124447	10140720	13301761	2313230	10940294	6234240	10271977	6132279	11344302	9751002	5805461	3405735	8558878	1621548	2727368	3214327	1560440	2621575	2808989	1722583	3051846	1995905	2227430	2681991	1800472	3014243	2032215	1987528	1770118	1331852	3232945	1821746	2456558
1554	1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*	Lipid	Phospholipid Metabolism	53189	LC/MS Pos Late	100009222	2030	764.52248			24768565			5593826	5935932	5169029	7128384	8536316	2075063	9508399	3887508	5001106	3890307	5377251	6757641	4672945	3003147	6739425	5009809	7236740	7322932	3947807	7268129	8392972	4744767	6805749	4876811	5671016	7793170	5557962	8679967	5721143	6217948	8466671	4113999	7607013	5064918	6623144
1488	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phospholipid Metabolism	53176	LC/MS Pos Late	100009343	1939	780.55378			24766802			419010	1401612	671567	714392	1336902	229781	1106355	421753	674270	276703	600813	1068625	616388	185984	517100	96173	125582	175142	98338	172414	254303	59378	164250	108924	123518	226152	164895	179193	156057	147812	151216		209590	90852	141148
1699	1-linoleoyl-GPA (18:2)*	Lipid	Lysolipid	52690	LC/MS Neg	100009082	5483	433.23606			24766514		HMDB07856	129025	114794	176530	220023	135558		78106	141614	188086		144874	132153	295782	72572	57418		153265	121836		90029	82944	134027	141753		47999	154846	142750	107894	94156	148824	197014	135987	285043	203670	119197
1614	1-linoleoyl-GPC (18:2)	Lipid	Lysolipid	34419	LC/MS Neg	100001395	6160	594.34125		11988421	10160888	C04100	HMDB10386		668742	161945	658372	353577				806855		144760	361521	141976			189967	795777	643698		283288	448711		215655	142232	330422	229269	103347	333209		388953	461824	113995	947817	365015	795361
1648	1-linoleoyl-GPE (18:2)*	Lipid	Lysolipid	32635	LC/MS Neg	100001570	5900	476.27826		52925130	21403170		HMDB11507	914737	1784746	610811	2875044	1186816	288641	1353549	550109	3338933	546077	605968	1997957	729228	121165	388111	338488	1349739	551983		409411	404528	507249	430990	148151	686608	345970	356732	140229	428010	474301	402515	277220	802384	400577	521064
1669	1-linoleoyl-GPI (18:2)*	Lipid	Lysolipid	36594	LC/MS Neg	100001778	5494	595.28888						5502121	10098932	7221420	20085420	10561602	1801315	8869055	4616029	19668804	1726002	6790225	7803402	4792529	1188605	4154613	113166	799261	279639	259777	461006	202307	164628	387210	217192	198251	136488	395657	122201	532269	426025	470906	161133	233539	348756	207214
1678	1-linoleoyl-GPS (18:2)*	Lipid	Lysolipid	43676	LC/MS Neg	100004606	5500	520.26809						456640	474572	541119	1103193	1699733		1358234	768447	1593996	352619	153842	569995	690141	68086	454458		101582			83812							121643		106170	65087					
1747	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040	6477	279.23293	2277-28-3	5283469	4446589			982353	1529142	3403932		3639900	860116	1524519	645811	5061454	696903	1044775	1298677	3020760		2607993			930357	388498	1260842	981564				1070821		600911	3011442		666427	4018318		1133217		1991020
1742	1-margaroylglycerol (17:0)	Lipid	Monoacylglycerol	34391	LC/MS Neg	100001429	6571	269.24858	68002-72-2	107036	96316			666437		139237	271139		214578		436433		268559		287022		139287					395669		342723	422018	245688	124114	273977			463678		188331	350551		230130	390255	433704
1769	1-oleoyl-2-linoleoyl-glycerol (18:1/18:2)	Lipid	Diacylglycerol	46798	LC/MS Pos Late	100002989	3115	636.55616	106292-55-1		23975985			1311922	1284247	1067079	1561221	1086462	145598	1431159	493660	2013896	338588	645727	1221534	679516	220314	744601																				
1494	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	Lipid	Phospholipid Metabolism	52453	LC/MS Pos Late	100008981	2165	784.58509						23190774	38182548	27926012	30200988	32771754	13546340	37317064	22721164	32759654	17643050	31105362	38327480	22912900	15133032	23956784	9753606	15911579	16039539	9795826	20098860	15360322	11241511	15800263	10770103	17219220	14182008	11107734	13942953	16930768	15954069	14770509	8367751	13598183	15801940	17671484
1546	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Lipid	Phospholipid Metabolism	52687	LC/MS Pos Late	100009078	2270	742.53813		9546753	7825703		HMDB05349	24747920	39086072	23476948	27543488	33929296	12902545	42543976	18795444	39739984	17297292	22414156	39224164	22164368	10850144	23325806	8957616	14237539	13058431	8120939	21323432	13131895	10641200	12546545	9020945	16940328	16607183	11748134	14313627	16796666	18742516	19392650	8671197	13485804	15548631	18205518
1770	1-oleoyl-3-linoleoyl-glycerol (18:1/18:2)	Lipid	Diacylglycerol	46799	LC/MS Pos Late	100002990	3223	636.55616	104346-53-4					6232809	13517473	6825515	9434128	12086922	1168054	14407488	4179499	12217249	2177488	4242422	9923153	4204748	1320760	5253710		165639	44809		321740	54338				235337		207225		232569	191280		55082		233850	78083
1611	1-oleoyl-GPC (18:1)	Lipid	Lysolipid	48258	LC/MS Pos Late	100001272	1540	522.35542	19420-56-5	16081932	17240641		HMDB02815	1080212	2379794	1121434	1690125	1603097	390872	1916200	865492	1939694	899753	1275816	1741744	1083274	587923	1054635	943266	1605496	2031228	1203067	1908389	1465596	1093435	2518036	1313763	2022331	914319	821140	1672571	1769720	1772258	1630703	552276	2420812	2091685	2518183
1644	1-oleoyl-GPE (18:1)	Lipid	Lysolipid	35628	LC/MS Neg	100001569	6125.1	478.29391	89576-29-4	9547071	7826021		HMDB11506	834962	1948030	935506	3692402	1175803	290379	1452791	523164	7536943	525532	969844	1913720	932816	172405	252044	723996	2137525	864907	308619	628232	919780	776154	1794190	368884	546390	434805	693716	438375	1528612	731122	538334	420200	1175874	797155	841396
1691	1-oleoyl-GPG (18:1)*	Lipid	Lysolipid	45968	LC/MS Neg	100005716	5610	509.28849						2009848	3798304	4843069	7532780	3065584	741912	3393905	2171338	6941223	775823	1543033	3062939	5144327	344376	915558																				
1667	1-oleoyl-GPI (18:1)*	Lipid	Lysolipid	36602	LC/MS Neg	100001777	5599	597.30453						12987843	25293572	15466896	31966852	14270753	4319571	19352950	9442120	46035384	3257665	11031832	18132852	11873732	2136437	3820227	258840	1184658	335173	267814	860836	341737	179553	496453	193244	302647	207786	467934	114740	928782	746484	637796	186199	292742	557278	260284
1676	1-oleoyl-GPS (18:1)	Lipid	Lysolipid	19260	LC/MS Neg	100000630	5607	522.28374		9547099	7826049			1599877	1973286	1712662	2910029	2378833	195085	3631008	1628851	5683522	651526	204210	1918834	2120178	136603	450466		246712			192562	53522						112669		90993	117103					
1745	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924	6500	281.24858	111-03-5	5283468	4446588		HMDB11567	4026934	2936111	3727129	12056985	4247582	5415991	4073212	2142090	5347176	3224984	3271657	6258139	10611937	677528	2641690			3863765	4664080	39829144	16019909		2136664	3685505	5776479	13948613		3599859	5679155		11284877		4187745	3841097	3710443
1538	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	Lipid	Phospholipid Metabolism	52683	LC/MS Pos Late	100009075	2003	756.55378			24766675			2052877	7507920	4063728	4513062	9395476	1398834	5424470	2202783	6148277	929767	2767080	5001032	3302182	675097	2456309	632235	1361645	1546761	866496	1219113	1098317	876918	1514136	828622	1047054	815315	707682	1287648	863046	772896	862800	475273	1172499	740381	1061818
1484	1-palmitoyl-2-arachidonoyl-GPA (16:0/20:4)*	Lipid	Phospholipid Metabolism	52681	LC/MS Polar	100009071	914	695.46573		9547168	7826111																		451044	702391	680394	314410	716181	602174	504220	686110	437977	474861	993093	518662	726539	596014	623545	1316072	483722	759422	529667	740178
1485	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)	Lipid	Phospholipid Metabolism	52462	LC/MS Pos Late	100008914	2091	782.56944	35418-58-7	10747814	8923140			142009344	204207232	175453392	255243536	252650336	55737120	216979104	140294864	247526576	156012048	206446208	179448480	153001552	90920408	215087536	41285432	61834224	77737896	37581220	75393304	73950032	40721880	74866128	45422108	63083044	44362804	45234952	70890336	63615748	59862840	48374020	32403536	65484232	50801952	69361824
1507	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phospholipid Metabolism	52464	LC/MS Pos Late	100008990	2198	740.52248		9546800	7825750		HMDB05323	72625224	102669496	88220648	120786112	122305248	33580768	112697896	77088568	123182464	79212928	100858416	103780656	79759000	59123912	116141936	26750096	35642416	36114944	22881110	30865260	42526652	26577796	33464916	25203680	27141952	27420336	31849984	40007616	25531256	29962312	27626990	22435862	36393216	23710400	25895196
1535	1-palmitoyl-2-linolenoyl-GPC (16:0/18:3)*	Lipid	Phospholipid Metabolism	52684	LC/MS Pos Late	100009076	2034	756.55378			24766646			6679804	22742740	14965962	20235836	25762978	3398520	15785318	6984888	19260456	4835591	8382184	12335298	10276218	3638974	9032689	1359726	3423307	3011240	1981662	3617878	2801234	2169549	3870742	2396935	2587332	2302427	2773076	2517779	2662047	2551413	2541413	1818484	2216666	2199092	2800567
1772	1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2)*	Lipid	Diacylglycerol	52633	LC/MS Pos Late	100009052	3080	610.54051		9543695	7822645		HMDB05207HMDB07103	1501660	1551930	1228481	2144128	1629783	141445	1383896	551360	2586643	379271	907080	1530422	818974	304936	996947																				
1558	1-palmitoyl-2-linoleoyl-GPA (16:0/18:2)*	Lipid	Phospholipid Metabolism	52679	LC/MS Polar	100009070	920	671.46573		9547167	7826110		HMDB07860		59334	61225	85686							97255					649417	1124967	1067709	542479	1143371	846520	864353	1150900	798668	913472	1487719	781916	1093853	1046055	1214344	2207198	779827	1163335	950840	1391508
1479	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phospholipid Metabolism	42446	LC/MS Pos Late	1537	2160	758.56944	40811-94-7	5287971	4450224			348976704	559626944	418343136	561596224	614624000	194156320	560577920	303105856	591790976	294448160	410067264	505605184	354058272	208513120	451753376	119848456	160834240	176416256	104849680	192231136	168331280	118161240	173173936	121336296	156004816	126735520	130725608	151071568	168620256	155309824	138275216	102029656	152086336	141672912	165311808
1509	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phospholipid Metabolism	42449	LC/MS Pos Late	100001870	2275	716.52248		9546747	7825697		HMDB05322	124012408	186993712	169494864	219050080	217663840	69438832	213179296	118251128	238758032	103669648	134341184	198896864	140169280	77781032	179808208	20399324	32093228	30402252	19429888	40819400	28882978	21739504	29282944	21539600	32671454	28792004	26810158	28387880	33738460	33212560	31651304	19051832	25948464	27697052	30507832
1510	1-palmitoyl-2-linoleoyl-GPG (16:0/18:2)	Lipid	Phospholipid Metabolism	52628	LC/MS Polar	1543	717	745.50251			21403027			3839845	17610718	7738960	10904618	20093196	3374459	14487889	4956552	11444148	2562689	6264335	12216998	5119965	2718531	5775878		106350	100838	117575	358229		114409		87703	324140		180422		345193	234628		34266		392889	68246
1496	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phospholipid Metabolism	52450	LC/MS Polar	1528	910	833.51845			21403024			1612294	1574613	1576038	1937465	1815086	543277	1856799	1175205	2040677	952829	1458967	1757126	1231599	508148	1839087	312992	760948	695476	481609	567825	328870	423373	761338	570243	405462	217079	269030	278440	528038	390582	274215	247608	361597	424695	434736
1511	1-palmitoyl-2-linoleoyl-GPS (16:0/18:2)	Lipid	Phospholipid Metabolism	52618	LC/MS Pos Late	100001857	2450	760.51231						7062947	6925949	6234119	11536953	11802861	1930130	12892488	6280505	11528175	5085630	3691007	6480695	4534975	2036540	8475613	421662	702643	819934	544851	1288544	443223	388586	816091	474045	1028616	932253	471583	510058	972554	955332	1181108	687243	668113	648317	1227155
1477	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phospholipid Metabolism	52461	LC/MS Pos Late	1539	2358	760.58509	26853-31-6;26853-31-6	6436017	4940699			514489024	795636416	629026304	718642752	672131264	268497728	760562816	449857888	837824064	434188416	525369056	688967360	567414400	318739136	539401344	123453472	183796816	197922000	120440320	244744320	181232768	133918904	198202736	136037056	188693408	114410808	148722496	158620720	213844352	195576032	129326952	103205008	155529296	174689488	188666912
1502	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phospholipid Metabolism	19263	LC/MS Pos Late	1526	2509	718.53813	26662-94-2	5283496	4446615		HMDB05320	138837456	207055264	182074464	200315424	187847008	72170016	207727072	129062032	244398816	110527456	139177248	188131840	154744048	87191752	157144480	39866776	51128216	51214044	30998220	65946568	57364104	40478872	48563456	36689000	57228928	44539064	47768712	56873844	55576812	64060392	49736408	38577568	55346664	49021884	58257232
1500	1-palmitoyl-2-oleoyl-GPG (16:0/18:1)	Lipid	Phospholipid Metabolism	52448	LC/MS Polar	100000641	745	747.51853		5283509	4446626			5356664	27850392	10665368	11730180	20141760	5266160	20525212	7704294	14581140	3719008	7465975	18574728	7514866	4892279	6227782	458250	666093	386257	391100	994300	816499	386062	536108	384075	938826		602269	544875	898848	1044477	437666	216470	554846	1503911	402055
1529	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phospholipid Metabolism	52669	LC/MS Polar	100009066	893	835.5342			24767668			3272511	3180276	3343578	3087205	2680147	1185369	3312620	2660338	3643528	1944276	2592004	3410213	2709295	1188878	3021050	712275	1039334	890800	726265	993368	722363	604095	879953	684506	864120	420678	678992	645453	873517	918331	437781	501108	643077	773037	695608
1559	1-palmitoyl-2-oleoyl-GPS (16:0/18:1)	Lipid	Phospholipid Metabolism	19261	LC/MS Pos Late	1531	2660	762.52797	40290-44-6	5283499	4446618	C13880		18352690	26209122	19496684	26605670	26096462	5083456	31554544	18798852	31713026	14571851	7453459	20852856	13784462	6523279	17826704	2002474	1629870	2367258	1212506	3349717	2785662	1199008	2311173	1138956	2942014	1912343	2013064	2552843	2743834	3104963	2226697	2469471	3148717	2248296	2888484
1490	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phospholipid Metabolism	52470	LC/MS Pos Late	100008984	2160	732.55378						30596164	96019144	87836832	51753304	84323416	26735602	62091660	34593532	85522328	15742657	33100952	53653260	58594240	12165570	34840208	4886028	11017900	12014897	6665688	9311534	8601100	7147231	11000962	7530263	6695871	4197821	7268194	8381075	7533473	6286135	4442257	4512190	8317250	6007404	6123945
1526	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phospholipid Metabolism	52616	LC/MS Pos Late	100008921	2653	762.60074	59403-51-9		24766643			126448360	468165280	256306224	337712832	494310976	57663112	403759840	236479072	341889920	206420208	182698816	357580416	135882592	137070224	190233808	22258188	39297088	53232784	17955326	58539236	61355352	16482868	48291600	20699360	68090688	33241860	32179606	43477344	46331416	51717708	51323032	13788200	44960120	34213076	46261892
1773	1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2)*	Lipid	Diacylglycerol	52634	LC/MS Pos Late	100009055	3197	610.54104						6340508	13547833	7961739	12917949	14671855	1393310	12826672	3810216	13198234	2438807	5751935	9505416	4196225	1369225	6244110		124224	115124	80326	320655	55843		76991	76329	245656		92116		238128	99337				243467	67114
1681	1-palmitoyl-GPA (16:0)	Lipid	Lysolipid	34428	LC/MS Neg	100001445	5600	409.23606	17618-08-5	6419701	4925335	C04036	HMDB00327				179782					119037							87457	244392	237567	39901	145714	191561	172533	262011	90962	162331	280087	150525	136799	179838	230207	476280	73533	270653	205720	347528
1603	1-palmitoyl-GPC (16:0)	Lipid	Lysolipid	33955	LC/MS Pos Late	100001263	1525	496.33977	17364-16-8	86554	78064		HMDB10382	2529594	4402075	2314251	3284858	3011635	631251	3503305	1747925	3686390	1380188	2230023	3027342	2338868	1067864	2330393	7052567	14579889	14217724	8662372	15548161	15348702	9576905	17359242	9703668	16166569	8175832	7871041	15538926	13225809	15319759	10072535	6407968	16727135	18440532	22323112
1639	1-palmitoyl-GPE (16:0)	Lipid	Lysolipid	35631	LC/MS Pos Late	100001567	1544	454.29282		9547069	7826019		HMDB11503	1157527	1943146	1499029	2220602	1996019	264544	1555672	930037	2615929	764066	1150694	1675946	1090753	454631	1257255	451150	770021	737215	403521	926473	745049	443501	758635	404951	580752	417255	447978	630860	718721	574799	501060	247979	890368	610437	678099
1686	1-palmitoyl-GPG (16:0)*	Lipid	Lysolipid	45970	LC/MS Neg	100005717	5570	483.27284		3300276	2548639			1718367	4549947	5895962	25071358	4897297	477954	3508987	2608803	13313764	528362	1061908	3152365	1544188	311595	1364987		181226	80701		219823	88726	47670			73884	82665	123863		317931	158938	170192		109797	97668	97341
